Mon May 07 12:40:55 UTC 2018: Adding test in queue
Mon May 07 12:40:55 UTC 2018: Skip jenkins.model.PeepholePermalinkTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.model.JenkinsGetRootUrlTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.model.lazy.AbstractLazyLoadRunMapTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.model.lazy.SortedListTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.model.lazy.SortedIntListTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.model.RunIdMigratorTest
Mon May 07 12:40:55 UTC 2018: Adding test in queue
Mon May 07 12:40:55 UTC 2018: Skip jenkins.model.JenkinsDescriptorTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.model.CoreEnvironmentContributorTest
Mon May 07 12:40:55 UTC 2018: Adding test in queue
Mon May 07 12:40:55 UTC 2018: Skip jenkins.util.TreeStringBuilderTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.util.xstream.XStreamDOMTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.util.MarkFindingOutputStreamTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.util.TimerTest
Mon May 07 12:40:55 UTC 2018: Skip jenkins.ResilientJsonObjectTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.FunctionsTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.slaves.NodeListTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.slaves.ComputerLauncherTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.EnvVarsTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.tasks._maven.Maven3MojoNoteTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.scheduler.CronTabDayOfWeekLocaleTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.scheduler.CronTabTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.scheduler.CronTabEventualityTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.RunParameterValueTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.FingerprintTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.AutoCompleteSeederTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.ParametersActionTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.BuildStatusSummaryTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.FileParameterValueTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.LoadStatisticsTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.TimeSeriesTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.ActionableTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.AbstractItemTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.DisplayNameListenerTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.TaskActionTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.ChoiceParameterDefinitionTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.listeners.SCMListenerTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.ComputerTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.ResourceListTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.model.BallColorTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.MarkupTextTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.FilePathTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.ProxyConfigurationTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.logging.LogRecorderTest
Mon May 07 12:40:55 UTC 2018: Skip hudson.BulkChangeTest
