Projects with links
type	projects
AST	256
BYTE	711



Duplicate projects
type	count(*)
ALL	157



Links
project	type	link	amount
gitaccountforprashant__gittes	BYTE	No link	31
GitHubShark39__checkstyle.redvulture.github.io	AST	No link	626
GitHubShark39__checkstyle.redvulture.github.io	AST	Link	191
gkatta4113__nif	AST	No link	55
globaltemstone__freedomexpress	AST	No link	2
globaltemstone__freedomexpress	BYTE	No link	147
globaltemstone__freedomexpress	BYTE	Link	146
glytching__dragoman	AST	No link	191
glytching__dragoman	BYTE	No link	211
glytching__dragoman	AST	Link	20
gohilankit__OpenMRS-bug-fixes	AST	No link	104
gohilankit__OpenMRS-bug-fixes	BYTE	No link	16
gohilankit__OpenMRS-bug-fixes	BYTE	Link	11
goldchang__jenkins	AST	No link	15
goldchang__jenkins	BYTE	No link	31
google-code-export__gwteventservice	AST	No link	33
google-code-export__gwteventservice	BYTE	No link	51
google-code-export__struts2-conversation	AST	No link	1
google-code-export__struts2-conversation	BYTE	Link	1
google__mu	AST	No link	133
google__mu	AST	Link	114
gopichaithanya__yes-car	BYTE	No link	4
grantboy__my-activemq	AST	No link	14
grantboy__my-activemq	BYTE	No link	179
grantboy__my-activemq	AST	Link	1
grantboy__my-activemq	BYTE	Link	15
greenmail-mail-test__greenmail	AST	No link	96
greenmail-mail-test__greenmail	BYTE	No link	93
greenmail-mail-test__greenmail	AST	Link	16
greenmail-mail-test__greenmail	BYTE	Link	19
greenqloud__cloudstack-old2	AST	No link	33
greenqloud__cloudstack-old2	BYTE	No link	33
grokcoder__pbase	AST	No link	48
grokcoder__pbase	BYTE	No link	46
grokcoder__pbase	AST	Link	2
grokcoder__pbase	BYTE	Link	5
groupon__monsoon	AST	No link	310
groupon__monsoon	AST	Link	92
gscacco__cipango	AST	No link	2
gscacco__cipango	BYTE	No link	2
gskirchner__MissionCriticalCloud-cosmic	AST	No link	478
gskirchner__MissionCriticalCloud-cosmic	BYTE	No link	568
gskirchner__MissionCriticalCloud-cosmic	AST	Link	387
gskirchner__MissionCriticalCloud-cosmic	BYTE	Link	446
gssurya__jersey-store	BYTE	No link	4
gszhuang__ActiveMQ_study	AST	No link	133
gszhuang__ActiveMQ_study	BYTE	No link	723
gszhuang__ActiveMQ_study	AST	Link	86
gszhuang__ActiveMQ_study	BYTE	Link	102
gszhuang__hbase_study	AST	No link	422
gszhuang__hbase_study	AST	Link	11
gudipatiharitha__medicmobile	AST	No link	97
gudipatiharitha__medicmobile	BYTE	No link	93
gudipatiharitha__medicmobile	AST	Link	47
gudipatiharitha__medicmobile	BYTE	Link	51
gudmundur__atun	AST	No link	22
gudmundur__atun	BYTE	No link	14
gudmundur__atun	BYTE	Link	8
GuillaumeDelarue__crowdmix-coding-exercise	AST	No link	26
GuillaumeDelarue__crowdmix-coding-exercise	BYTE	No link	26
GuillaumeDelarue__crowdmix-coding-exercise	AST	Link	3
GuillaumeDelarue__crowdmix-coding-exercise	BYTE	Link	3
guochuanzhi__flink	AST	No link	129
guochuanzhi__flink	BYTE	No link	339
guochuanzhi__flink	AST	Link	174
guochuanzhi__flink	BYTE	Link	196
guodidi__netty-source-read	AST	No link	993
guodidi__netty-source-read	BYTE	No link	1474
guodidi__netty-source-read	AST	Link	125
guodidi__netty-source-read	BYTE	Link	340
guotao3__motan	BYTE	No link	83
guotao3__motan	BYTE	Link	17
h908714124__zerobuilder	AST	No link	85
h908714124__zerobuilder	AST	Link	5
hadzung__CICDTestin	AST	No link	26
hadzung__CICDTestin	BYTE	No link	48
hadzung__CICDTestin	AST	Link	1
hadzung__CICDTestin	BYTE	Link	1
haodeyu__hdy	BYTE	Link	4
harshadura__platform-communications	AST	No link	23
harshadura__platform-communications	BYTE	No link	21
harshadura__platform-communications	AST	Link	5
harshadura__platform-communications	BYTE	Link	7
hashbase__hashbase	AST	No link	26
hashbase__hashbase	BYTE	No link	38
hashbase__hashbase	AST	Link	3
hashbase__hashbase	BYTE	Link	11
hashcms__hashres	AST	No link	1169
hashcms__hashres	AST	Link	38
hashsos__cloudstack	AST	No link	34
hashsos__cloudstack	BYTE	No link	43
hashsos__cloudstack	AST	Link	3
hashsos__cloudstack	BYTE	Link	15
hashsos__hashsos-os	AST	No link	28
hashsos__hashsos-os	AST	Link	2
hasnainv__Adx	AST	No link	210
hasnainv__Adx	BYTE	No link	193
hasnainv__Adx	AST	Link	87
hasnainv__Adx	BYTE	Link	103
hawkmenz__demo	AST	Link	7
hawkmenz__demo	BYTE	Link	7
hawkular__hawkular-inventory	AST	No link	123
hawkular__hawkular-inventory	AST	Link	9
hazelcast__hazelcas	AST	No link	51
hazelcast__hazelcas	BYTE	No link	58
hazelcast__hazelcas	AST	Link	2
hazelcast__hazelcas	BYTE	Link	31
hazelcast__hazelcast-je	AST	No link	890
hazelcast__hazelcast-je	AST	Link	150
hbarnard__fcrepo-phaidra	AST	No link	1
hbarnard__fcrepo-phaidra	BYTE	No link	1
headwirecom__peregrine-cms	AST	No link	15
headwirecom__peregrine-cms	BYTE	No link	15
heather-lo__hlo-ksd-kc5.2.1-rice	AST	No link	728
heather-lo__hlo-ksd-kc5.2.1-rice	BYTE	No link	544
heather-lo__hlo-ksd-kc5.2.1-rice	AST	Link	373
heather-lo__hlo-ksd-kc5.2.1-rice	BYTE	Link	557
HenryWan16__artemis-apache2.0	AST	No link	40
HenryWan16__artemis-apache2.0	BYTE	No link	503
HenryWan16__artemis-apache2.0	AST	Link	31
HenryWan16__artemis-apache2.0	BYTE	Link	42
hilben__msee	AST	No link	3
hilben__msee	BYTE	No link	3
himanshu5jain__openmrs-core	AST	No link	103
himanshujainibtech__openmrs-core	AST	No link	103
hl123123__skywalkin	AST	No link	131
hl123123__skywalkin	BYTE	No link	116
hl123123__skywalkin	AST	Link	38
hl123123__skywalkin	BYTE	Link	53
hms-dbmi__IRCT	AST	Link	49
hms-dbmi__IRCT	BYTE	Link	49
hms-dbmi__IRCT-API	AST	No link	5
hms-dbmi__IRCT-API	BYTE	No link	5
hms-dbmi__IRCT-API	AST	Link	1
hms-dbmi__IRCT-API	BYTE	Link	1
hohonuuli__vars	AST	No link	22
hohonuuli__vars	BYTE	No link	22
hohonuuli__vars	AST	Link	1
hohonuuli__vars	BYTE	Link	1
hoquangtruong__TestMylyn	AST	No link	121
hoquangtruong__TestMylyn	BYTE	No link	80
hoquangtruong__TestMylyn	AST	Link	22
hoquangtruong__TestMylyn	BYTE	Link	28
HotelsDotCom__circus-train	AST	No link	531
HotelsDotCom__circus-train	BYTE	No link	471
HotelsDotCom__circus-train	AST	Link	67
HotelsDotCom__circus-train	BYTE	Link	127
HPSoftware__ALMOctaneJavaRESTSDK	AST	No link	31
HPSoftware__ALMOctaneJavaRESTSDK	BYTE	No link	30
HPSoftware__ALMOctaneJavaRESTSDK	AST	Link	3
HPSoftware__ALMOctaneJavaRESTSDK	BYTE	Link	4
huangbowen521__SpringMessageSpike	AST	No link	9
huangbowen521__SpringMessageSpike	BYTE	No link	9
huangbowen521__SpringMessageSpike	AST	Link	2
huangbowen521__SpringMessageSpike	BYTE	Link	2
huangcheng11676670__webmanger	AST	No link	8
huangcheng11676670__webmanger	BYTE	No link	8
hymmm__cl	AST	No link	34
hymmm__cl	BYTE	No link	34
hymmm__cl	AST	Link	15
hymmm__cl	BYTE	Link	15
hypotext__openmrs-core	AST	No link	202
hypotext__openmrs-core	BYTE	No link	178
hypotext__openmrs-core	AST	Link	129
hypotext__openmrs-core	BYTE	Link	146
hyunyun1__cipango	AST	No link	2
hyunyun1__cipango	BYTE	No link	2
iamgituser__onlinebankin	AST	No link	31
iamgituser__onlinebankin	BYTE	No link	31
iamgituser__onlinebankin	AST	Link	93
iamgituser__onlinebankin	BYTE	Link	93
ibauersachs__dnssecjava	AST	No link	212
ibauersachs__dnssecjava	BYTE	No link	211
ibauersachs__dnssecjava	BYTE	Link	1
ibeauvais__PlayWithJava8	AST	No link	8
ibeauvais__PlayWithJava8	BYTE	No link	8
ibsdeveloper__cloudstack	AST	No link	35
ibsdeveloper__cloudstack	BYTE	No link	34
ibsdeveloper__cloudstack	AST	Link	1
ibsdeveloper__cloudstack	BYTE	Link	2
icchange__openmrs-core	AST	No link	1
icchange__openmrs-core	BYTE	No link	1
icchange__openmrs-core	AST	Link	40
icchange__openmrs-core	BYTE	Link	25
icchange__openmrs-core-1.11.3	AST	No link	110
icchange__openmrs-core-1.11.3	BYTE	No link	25
icchange__openmrs-core-1.11.3	AST	Link	12
icchange__openmrs-core-1.11.3	BYTE	Link	80
ichekhovskikh__filmography	AST	No link	12
ichekhovskikh__filmography	BYTE	No link	12
idueppe__maven-course-examples	AST	No link	19
idueppe__maven-course-examples	BYTE	No link	16
idueppe__maven-course-examples	BYTE	Link	3
iemre__cognition	AST	No link	55
iemre__cognition	BYTE	No link	54
iemre__cognition	AST	Link	5
iemre__cognition	BYTE	Link	6
Ievgen-Kalko__CM	AST	No link	10
Ievgen-Kalko__CM	BYTE	No link	10
Ievgen-Kalko__CM	AST	Link	12
Ievgen-Kalko__CM	BYTE	Link	12
igorakkerman__jlib	AST	No link	83
igorakkerman__jlib	BYTE	No link	56
igorakkerman__jlib	AST	Link	21
igorakkerman__jlib	BYTE	Link	48
ilikeorangutans__omf	AST	No link	47
ilikeorangutans__omf	BYTE	No link	35
ilikeorangutans__omf	AST	Link	6
ilikeorangutans__omf	BYTE	Link	18
ilsid__BFA	AST	No link	353
ilsid__BFA	AST	Link	7
imbo__imboclient-java	AST	No link	35
imbo__imboclient-java	BYTE	No link	31
imbo__imboclient-java	AST	Link	64
imbo__imboclient-java	BYTE	Link	68
IMCG__Flink	AST	No link	247
IMCG__Flink	BYTE	No link	269
IMCG__Flink	AST	Link	9
IMCG__Flink	BYTE	Link	24
imCodePartnerAB__imcms	AST	No link	63
imCodePartnerAB__imcms	BYTE	No link	63
imCodePartnerAB__imcms	AST	Link	36
imCodePartnerAB__imcms	BYTE	Link	36
ImmobilienScout24__deadcode4j	AST	No link	257
ImmobilienScout24__deadcode4j	BYTE	No link	252
ImmobilienScout24__deadcode4j	AST	Link	16
ImmobilienScout24__deadcode4j	BYTE	Link	21
Impetus__ankush	AST	No link	76
Impetus__ankush	BYTE	No link	34
Impetus__ankush	AST	Link	51
Impetus__ankush	BYTE	Link	93
indigo-dc__java-reposync	AST	No link	1
indigo-dc__java-reposync	BYTE	No link	1
infinispan__infinispan	AST	No link	1057
infinispan__infinispan	BYTE	No link	1041
infinispan__infinispan	AST	Link	41
infinispan__infinispan	BYTE	Link	57
infinitiessoft__keystone4j	AST	No link	8
infinitiessoft__keystone4j	BYTE	No link	8
infinitiessoft__keystone4j	AST	Link	1
infinitiessoft__keystone4j	BYTE	Link	1
informationgrid__ingrid-iplug-se	AST	No link	21
informationgrid__ingrid-iplug-se	BYTE	No link	21
informationgrid__ingrid-iplug-se	AST	Link	4
informationgrid__ingrid-iplug-se	BYTE	Link	4
ingolep__insure	AST	No link	116
ingolep__insure	BYTE	No link	24
ingolep__insure	AST	Link	30
ingolep__insure	BYTE	Link	32
inspire-software__yes-car	AST	No link	703
inspire-software__yes-car	AST	Link	423
intesar__MonitorApp	AST	No link	11
intesar__MonitorApp	BYTE	No link	11
intesar__MonitorApp	AST	Link	2
intesar__MonitorApp	BYTE	Link	2
intuit__Autumn	AST	No link	46
intuit__Autumn	BYTE	No link	45
intuit__Autumn	AST	Link	19
intuit__Autumn	BYTE	Link	20
intuit__karate	AST	No link	18
intuit__karate	BYTE	No link	16
intuit__karate	AST	Link	2
intuit__karate	BYTE	Link	4
intuit__wasab	AST	No link	11
intuit__wasab	BYTE	No link	11
intuit__wasab	AST	Link	4
intuit__wasab	BYTE	Link	4
io-project__meerka	AST	No link	21
io-project__meerka	BYTE	No link	14
io-project__meerka	AST	Link	8
io-project__meerka	BYTE	Link	15
IRISTrans__IrisCapture	BYTE	No link	15
IRISTrans__IrisCapture	BYTE	Link	10
ishara__maven-t7-common	AST	No link	32
ishara__maven-t7-common	BYTE	No link	29
ishara__maven-t7-common	AST	Link	2
ishara__maven-t7-common	BYTE	Link	5
islammohamed__google-hashcode-setup-2017	AST	No link	1
islammohamed__google-hashcode-setup-2017	BYTE	No link	1
ismailkuru__MeetMeForLangProjec	AST	No link	8
ismailkuru__MeetMeForLangProjec	BYTE	No link	8
ismailkuru__MeetMeForLangProjec	AST	Link	29
ismailkuru__MeetMeForLangProjec	BYTE	Link	29
itolson__crabbeo-EarleCRM-03b51a6	AST	No link	4
itolson__crabbeo-EarleCRM-03b51a6	BYTE	No link	3
itolson__crabbeo-EarleCRM-03b51a6	AST	Link	2
itolson__crabbeo-EarleCRM-03b51a6	BYTE	Link	3
itolson__EarleCRM	AST	No link	1
itolson__EarleCRM	BYTE	No link	1
j-white__opennms	AST	No link	1487
j-white__opennms	BYTE	No link	236
j-white__opennms	AST	Link	193
j-white__opennms	BYTE	Link	29
jacksean__feign	AST	No link	2
jacksean__feign	BYTE	No link	2
Jackygq1982__hbase_src	AST	No link	673
Jackygq1982__hbase_src	BYTE	No link	1223
Jackygq1982__hbase_src	AST	Link	65
Jackygq1982__hbase_src	BYTE	Link	131
jagshan__motech	AST	No link	1
jagshan__motech	BYTE	No link	1
Jahia__jahia-loganalyzer	AST	No link	1
Jahia__jahia-loganalyzer	BYTE	No link	1
jamesfeshner__openmrs-module	AST	No link	109
jamesfeshner__openmrs-module	BYTE	No link	1
JamesGames__steam-condenser-for-rus	AST	No link	18
JamesGames__steam-condenser-for-rus	BYTE	No link	18
JamesGames__steam-condenser-for-rus	AST	Link	13
JamesGames__steam-condenser-for-rus	BYTE	Link	13
Jarvis-JunZhu__shiro-root-1.3.2	AST	No link	3
Jarvis-JunZhu__shiro-root-1.3.2	BYTE	No link	3
Jarvis-JunZhu__shiro-root-1.3.2	AST	Link	3
Jarvis-JunZhu__shiro-root-1.3.2	BYTE	Link	11
javaee__hk2	AST	No link	45
javaee__hk2	BYTE	No link	724
javaee__hk2	AST	Link	2
javaee__hk2	BYTE	Link	110
jbferraz__bdoc	AST	No link	482
jbferraz__bdoc	BYTE	No link	478
jbferraz__bdoc	AST	Link	31
jbferraz__bdoc	BYTE	Link	35
jblaya__openmrs-core	AST	No link	140
jblaya__openmrs-core	BYTE	No link	36
jblaya__openmrs-core	AST	Link	75
jblaya__openmrs-core	BYTE	Link	20
jbolaky__multi-java-frameworks-tutorials	AST	No link	8
jbolaky__multi-java-frameworks-tutorials	BYTE	No link	3
jbolaky__multi-java-frameworks-tutorials	AST	Link	5
jbolaky__multi-java-frameworks-tutorials	BYTE	Link	10
jboss-fuse__fabric8	AST	No link	49
jboss-fuse__fabric8	BYTE	No link	65
jboss-fuse__fabric8	AST	Link	26
jboss-fuse__fabric8	BYTE	Link	40
jboss-fuse__fuse-karaf	AST	No link	53
jboss-fuse__fuse-karaf	BYTE	No link	59
jboss-fuse__fuse-karaf	AST	Link	9
jboss-fuse__fuse-karaf	BYTE	Link	3
jcarvalhogo__javaEE-web-spark	AST	No link	1
jcarvalhogo__javaEE-web-spark	BYTE	No link	1
jclouds__jclouds-karaf	AST	No link	7
jclouds__jclouds-karaf	BYTE	No link	7
jcsdatera__cloudstack-4.9.0-v2.0	AST	No link	34
jcsdatera__cloudstack-4.9.0-v2.0	BYTE	No link	34
jcsdatera__datera-cloudstack	AST	No link	34
jcsdatera__datera-cloudstack	BYTE	No link	34
jd3538__Marist-Sakai-11.x	AST	No link	7
jdeesh735__jenkinssci-	AST	No link	28
jdeesh735__jenkinssci-	BYTE	No link	42
jdeesh735__jenkinssci-	BYTE	Link	1
jeevanrd__order-service	AST	No link	7
jeevanrd__order-service	BYTE	No link	7
JeffLeFoll__gwteventservice	AST	No link	39
JeffLeFoll__gwteventservice	BYTE	No link	57
jenkinsci__email-ext-plugin	AST	No link	206
jenkinsci__email-ext-plugin	BYTE	No link	193
jenkinsci__email-ext-plugin	AST	Link	13
jenkinsci__email-ext-plugin	BYTE	Link	26
jenkinsci__ghprb-plugin	AST	No link	41
jenkinsci__ghprb-plugin	BYTE	No link	38
jenkinsci__ghprb-plugin	AST	Link	17
jenkinsci__ghprb-plugin	BYTE	Link	20
jenkinsci__jira-plugin	AST	No link	73
jenkinsci__jira-plugin	BYTE	No link	68
jenkinsci__jira-plugin	AST	Link	20
jenkinsci__jira-plugin	BYTE	Link	25
jenkinsci__office-365-connector-plugin	AST	No link	12
jenkinsci__office-365-connector-plugin	BYTE	No link	12
jenkinsci__office-365-connector-plugin	AST	Link	5
jenkinsci__office-365-connector-plugin	BYTE	Link	5
jenkinsci__performance-plugin	AST	No link	113
jenkinsci__performance-plugin	BYTE	No link	113
jenkinsci__performance-plugin	AST	Link	9
jenkinsci__performance-plugin	BYTE	Link	9
jenkinsci__subversion-plugin	AST	No link	49
jenkinsci__subversion-plugin	AST	Link	1
jentrata__jentrata	AST	No link	46
jentrata__jentrata	BYTE	No link	46
jentrata__jentrata	AST	Link	5
jentrata__jentrata	BYTE	Link	5
jerboaa__thermosta	AST	No link	238
jerboaa__thermosta	BYTE	No link	222
jerboaa__thermosta	AST	Link	114
jerboaa__thermosta	BYTE	Link	100
jerryjch__ApacheHBase	AST	No link	138
jerryjch__ApacheHBase	AST	Link	17
jersey__jersey	AST	No link	150
jferard__fastods	AST	No link	416
jferard__fastods	BYTE	No link	413
jferard__fastods	AST	Link	249
jferard__fastods	BYTE	Link	252
jiekang__thermostat-agen	AST	No link	1
jiekang__thermostat-agen	BYTE	No link	8
jiekang__thermostat-agen	BYTE	Link	23
JILAKATA__mp9_maven	AST	No link	36
JILAKATA__mp9_maven	BYTE	No link	42
JILAKATA__mp9_maven	BYTE	Link	10
jknack__handlebars.java	AST	No link	113
jknack__handlebars.java	BYTE	No link	112
jknack__handlebars.java	AST	Link	11
jknack__handlebars.java	BYTE	Link	12
jleren__cipango	AST	No link	2
jleren__cipango	BYTE	No link	2
jleren__cipango	AST	Link	2
jleren__cipango	BYTE	Link	2
jmock-developers__jmock-library	AST	No link	12
jmock-developers__jmock-library	BYTE	No link	12
jmxtrans__jmxtrans	AST	No link	225
jmxtrans__jmxtrans	BYTE	No link	217
jmxtrans__jmxtrans	AST	Link	41
jmxtrans__jmxtrans	BYTE	Link	49
joansmith1__cloudstack	AST	No link	30
joansmith1__cloudstack	BYTE	No link	30
joansmith1__jOOQ	AST	No link	112
joansmith1__jOOQ	BYTE	No link	85
joansmith1__jOOQ	AST	Link	4
joansmith1__jOOQ	BYTE	Link	31
joansmith1__netty	AST	No link	18
joansmith1__netty	BYTE	No link	20
joansmith1__netty	AST	Link	3
joansmith1__netty	BYTE	Link	8
joansmith1__openmrs-core	AST	No link	111
joansmith1__openmrs-core	BYTE	No link	2
joansmith1__openmrs-core	AST	Link	3
joansmith1__openmrs-core	BYTE	Link	3
joansmith1__seqware	AST	No link	49
joansmith1__seqware	BYTE	No link	49
joansmith1__seqware	AST	Link	11
joansmith1__seqware	BYTE	Link	11
joansmith2__cloudstack	AST	No link	30
joansmith2__cloudstack	BYTE	No link	30
joansmith2__jOOQ	AST	No link	5
joansmith2__jOOQ	BYTE	No link	2
joansmith2__openmrs-core	AST	No link	110
joansmith2__openmrs-core	BYTE	No link	1
joansmith2__openmrs-core	AST	Link	1
joansmith3__jOOQ	AST	No link	5
joansmith3__netty	AST	No link	363
joansmith3__netty	BYTE	No link	407
joansmith3__netty	AST	Link	35
joansmith3__netty	BYTE	Link	117
joansmith3__openmrs-core	AST	No link	110
joansmith3__openmrs-core	BYTE	No link	1
joansmith__cloudstack	AST	No link	4
joansmith__cloudstack	BYTE	No link	4
joansmith__netty	AST	No link	113
joansmith__netty	BYTE	No link	115
joansmith__netty	AST	Link	20
joansmith__netty	BYTE	Link	55
joansmith__openmrs-core	AST	No link	126
joansmith__openmrs-core	BYTE	No link	33
joansmith__openmrs-core	AST	Link	33
joansmith__openmrs-core	BYTE	Link	3
jodyyangyh__mongo-java-orm	AST	No link	32
jodyyangyh__mongo-java-orm	BYTE	No link	27
jodyyangyh__mongo-java-orm	AST	Link	18
jodyyangyh__mongo-java-orm	BYTE	Link	23
JoeBeeton__MapNetsta	AST	No link	39
JoeBeeton__MapNetsta	BYTE	No link	39
JoeChien23__tachyon	AST	No link	469
JoeChien23__tachyon	BYTE	No link	446
JoeChien23__tachyon	AST	Link	181
JoeChien23__tachyon	BYTE	Link	205
joel-costigliola__assertj-core	AST	No link	242
joel-costigliola__assertj-core	BYTE	No link	657
joel-costigliola__assertj-core	AST	Link	45
joel-costigliola__assertj-core	BYTE	Link	68
johnament__shaboopy	AST	No link	111
johnament__shaboopy	BYTE	No link	82
johnament__shaboopy	AST	Link	42
johnament__shaboopy	BYTE	Link	71
johnmccabe__PRESPLIT-incubator-brooklyn	AST	No link	2
johnmccabe__PRESPLIT-incubator-brooklyn	BYTE	No link	3
johnmccabe__PRESPLIT-incubator-brooklyn	AST	Link	1
jolros__uadetector	AST	No link	346
jolros__uadetector	BYTE	No link	240
jolros__uadetector	AST	Link	69
jolros__uadetector	BYTE	Link	175
jooby-project__jooby	AST	No link	1666
jooby-project__jooby	AST	Link	256
JoshCode__SEM	AST	No link	45
JoshCode__SEM	BYTE	No link	33
JoshCode__SEM	AST	Link	72
JoshCode__SEM	BYTE	Link	84
josymadamana__TestImpor	AST	No link	26
josymadamana__TestImpor	BYTE	No link	47
jp295__pacman	AST	No link	3
jp295__pacman	BYTE	No link	3
jpmcnamee__ACCUMULO-2291	AST	No link	3
jpmcnamee__ACCUMULO-2291	BYTE	No link	3
jpmcnamee__ACCUMULO-2291	AST	Link	7
jpmcnamee__ACCUMULO-2291	BYTE	Link	7
jspotanski__jenkins-master	AST	No link	19
jspotanski__jenkins-master	BYTE	No link	17
jspotanski__jenkins-master	AST	Link	10
jspotanski__jenkins-master	BYTE	Link	12
jungyang__oauth-client-master	AST	No link	249
jungyang__oauth-client-master	BYTE	No link	246
jungyang__oauth-client-master	AST	Link	34
jungyang__oauth-client-master	BYTE	Link	37
juniorbasecompany__exemplo-google	AST	No link	1
juniorbasecompany__exemplo-google	BYTE	No link	1
juniorbasecompany__exemplo-google	AST	Link	1
juniorbasecompany__exemplo-google	BYTE	Link	1
Juniper__odl-opencontrail-plugin	AST	No link	8
Juniper__odl-opencontrail-plugin	AST	Link	33
junit-team__junit4	AST	No link	24
junit-team__junit4	BYTE	No link	24
junit-team__junit4	AST	Link	1
junit-team__junit4	BYTE	Link	1
Juraji__Biliom	AST	No link	19
Juraji__Biliom	BYTE	No link	9
Juraji__Biliom	AST	Link	51
Juraji__Biliom	BYTE	Link	61
justinedelson__spring-security	AST	No link	297
justinedelson__spring-security	BYTE	No link	278
justinedelson__spring-security	AST	Link	48
justinedelson__spring-security	BYTE	Link	67
jvelo__mayocat-shop	AST	No link	60
jvelo__mayocat-shop	BYTE	No link	53
jvelo__mayocat-shop	AST	Link	8
jvelo__mayocat-shop	BYTE	Link	15
k0stjap__flink-1.3.2-hopsworks	AST	No link	65
k0stjap__flink-1.3.2-hopsworks	BYTE	No link	84
k0stjap__flink-1.3.2-hopsworks	AST	Link	5
k0stjap__flink-1.3.2-hopsworks	BYTE	Link	9
k3po__k3po	AST	No link	502
k3po__k3po	BYTE	No link	504
k3po__k3po	AST	Link	20
k3po__k3po	BYTE	Link	18
kaazing__gateway	AST	No link	1291
kaazing__gateway	BYTE	No link	1167
kaazing__gateway	AST	Link	212
kaazing__gateway	BYTE	Link	336
kaazing__java.clien	AST	No link	172
kaazing__java.clien	BYTE	No link	164
kaazing__java.clien	AST	Link	51
kaazing__java.clien	BYTE	Link	59
kabariyamilind__openMRSDEV	AST	No link	109
kabariyamilind__openMRSDEV	BYTE	No link	1
kachelundmacher__lumify	AST	No link	12
kachelundmacher__lumify	BYTE	No link	12
kaitoy__pcap4j	AST	No link	24
kaitoy__pcap4j	BYTE	No link	12
kaitoy__pcap4j	AST	Link	2
kaitoy__pcap4j	BYTE	Link	14
kalecser__jpatchaca	AST	No link	13
kalecser__jpatchaca	BYTE	No link	12
kalecser__jpatchaca	AST	Link	5
kalecser__jpatchaca	BYTE	Link	6
karasatishkumar__easylocate	AST	No link	149
karasatishkumar__easylocate	BYTE	No link	146
karasatishkumar__easylocate	AST	Link	18
karasatishkumar__easylocate	BYTE	Link	21
karsakou__2017W-D2D3-DK-Karsakou-Volkau	AST	No link	15
karsakou__2017W-D2D3-DK-Karsakou-Volkau	BYTE	No link	14
karsakou__2017W-D2D3-DK-Karsakou-Volkau	BYTE	Link	1
kavimaluskam__zeppelin-0.7.1	AST	No link	26
kavimaluskam__zeppelin-0.7.1	BYTE	No link	27
Kawada__carpoolin	AST	No link	1
Kawada__carpoolin	BYTE	Link	1
khartig__assimilator-p2p	AST	No link	146
khartig__assimilator-p2p	BYTE	No link	131
khartig__assimilator-p2p	AST	Link	98
khartig__assimilator-p2p	BYTE	Link	113
KHP-Informatics__Cognition-DNC	AST	No link	51
KHP-Informatics__Cognition-DNC	BYTE	No link	50
kickstarter__dropwizard-influxdb-reporter	AST	No link	25
kickstarter__dropwizard-influxdb-reporter	AST	Link	51
kids-tcc-senacrs__kids-core	AST	No link	11
kids-tcc-senacrs__kids-core	BYTE	No link	11
kimbj07__lotto	AST	No link	6
kimbj07__lotto	BYTE	No link	6
kimbj07__lotto	AST	Link	1
kimbj07__lotto	BYTE	Link	1
king0910__activemq-cpp-3.4.5	AST	No link	11
king0910__activemq-cpp-3.4.5	BYTE	No link	21
king0910__activemq3.4.5	AST	No link	64
king0910__activemq3.4.5	BYTE	No link	44
king0910__activemq3.4.5	AST	Link	5
kiranjilla__nifi-xom	AST	No link	136
kiranjilla__nifi-xom	AST	Link	30
kjetilv__vanadis	AST	No link	139
kjetilv__vanadis	BYTE	No link	123
kjetilv__vanadis	AST	Link	22
kjetilv__vanadis	BYTE	Link	38
kjmrknsn__zeppelin-livy-0.7.3-with-bug-fixes	AST	No link	8
kjmrknsn__zeppelin-livy-0.7.3-with-bug-fixes	BYTE	No link	8
kjmrknsn__zeppelin-livy-0.7.3-with-bug-fixes	AST	Link	1
kjmrknsn__zeppelin-livy-0.7.3-with-bug-fixes	BYTE	Link	1
kkllwww007__jstrom	AST	No link	14
kkllwww007__jstrom	BYTE	No link	13
kkllwww007__jstrom	BYTE	Link	1
klarna__HiveRunner	AST	No link	160
klarna__HiveRunner	BYTE	No link	144
klarna__HiveRunner	AST	Link	24
klarna__HiveRunner	BYTE	Link	40
kleben__jersey	AST	No link	4
kleben__jersey	BYTE	No link	4
KNShrinidhi__MyShuttleBiz	AST	No link	1
KNShrinidhi__MyShuttleBiz	BYTE	No link	1
koenighotze__Hotel-Reservation-Tool	AST	No link	82
koenighotze__Hotel-Reservation-Tool	BYTE	No link	82
koenighotze__Hotel-Reservation-Tool	AST	Link	3
koenighotze__Hotel-Reservation-Tool	BYTE	Link	3
kohsuke__jenkins	AST	No link	204
kohsuke__jenkins	BYTE	No link	217
kohsuke__jenkins	AST	Link	11
kohsuke__jenkins	BYTE	Link	19
koldovsky__orlp-server	AST	No link	82
koldovsky__orlp-server	BYTE	No link	82
koldovsky__orlp-server	AST	Link	180
koldovsky__orlp-server	BYTE	Link	180
konik32__openres	AST	No link	41
konik32__openres	BYTE	No link	35
konik32__openres	AST	Link	4
konik32__openres	BYTE	Link	10
koraktor__steam-condenser-java	AST	No link	17
koraktor__steam-condenser-java	BYTE	No link	17
koraktor__steam-condenser-java	AST	Link	10
koraktor__steam-condenser-java	BYTE	Link	10
kosciukiewicz__SalveMagister	AST	No link	6
kosciukiewicz__SalveMagister	BYTE	No link	6
KPopStack__votree	AST	No link	3
KPopStack__votree	BYTE	No link	3
KPopStack__votree	AST	Link	10
KPopStack__votree	BYTE	Link	10
krotscheck__data-file-reader	AST	No link	103
