Projects with links
type	projects
AST	256
BYTE	711



Duplicate projects
type	count(*)
ALL	157



Links
project	type	link	amount
apache__karaf-webconsole	AST	No link	9
apache__karaf-webconsole	BYTE	No link	9
apache__nif	AST	No link	485
apache__nif	AST	Link	55
apache__nifi-registry	AST	No link	67
apache__nifi-registry	BYTE	No link	64
apache__nifi-registry	AST	Link	30
apache__nifi-registry	BYTE	Link	33
apache__oozie	AST	No link	226
apache__oozie	BYTE	No link	226
apache__oozie	AST	Link	29
apache__oozie	BYTE	Link	29
apache__openjpa	AST	No link	16
apache__openjpa	BYTE	No link	11
apache__openjpa	AST	Link	15
apache__openjpa	BYTE	Link	20
apache__sling-org-apache-sling-engine	AST	No link	28
apache__sling-org-apache-sling-engine	BYTE	No link	28
apache__sling-org-apache-sling-engine	AST	Link	7
apache__sling-org-apache-sling-engine	BYTE	Link	7
apache__sling-org-apache-sling-hc-core	AST	No link	25
apache__sling-org-apache-sling-hc-core	BYTE	No link	24
apache__sling-org-apache-sling-hc-core	AST	Link	5
apache__sling-org-apache-sling-hc-core	BYTE	Link	6
apache__stanbol	AST	No link	374
apache__stanbol	BYTE	No link	372
apache__stanbol	AST	Link	20
apache__stanbol	BYTE	Link	22
apache__streams	AST	No link	3
apache__streams	BYTE	No link	3
apache__tajo	AST	No link	24
apache__tajo	BYTE	No link	20
apache__tajo	AST	Link	2
apache__tajo	BYTE	Link	6
apache__tiles-reques	AST	No link	192
apache__tiles-reques	BYTE	No link	57
apache__tiles-reques	AST	Link	270
apache__tiles-reques	BYTE	Link	393
apache__webservices-axiom	AST	No link	34
apache__webservices-axiom	BYTE	No link	26
apache__webservices-axiom	AST	Link	4
apache__webservices-axiom	BYTE	Link	5
apache__zeppelin	AST	No link	222
apache__zeppelin	BYTE	No link	2
apache__zeppelin	AST	Link	19
Appdynamics__tibco-hawk-monitoring-extension	AST	No link	2
Appdynamics__tibco-hawk-monitoring-extension	BYTE	No link	2
apromore__ApromoreCode	AST	No link	179
apromore__ApromoreCode	BYTE	No link	149
apromore__ApromoreCode	AST	Link	71
apromore__ApromoreCode	BYTE	Link	101
apurtell__hbase	AST	No link	86
apurtell__hbase	BYTE	No link	14
apurtell__hbase	AST	Link	26
apurtell__hbase	BYTE	Link	11
aravindbargurhiriyannaiah__Experiments	AST	No link	82
aravindbargurhiriyannaiah__Experiments	BYTE	No link	60
aravindbargurhiriyannaiah__Experiments	AST	Link	28
aravindbargurhiriyannaiah__Experiments	BYTE	Link	50
arcao__geocaching-ap	AST	No link	35
arcao__geocaching-ap	BYTE	No link	28
arcao__geocaching-ap	AST	Link	5
arcao__geocaching-ap	BYTE	Link	12
artaleks9__che	AST	No link	56
artaleks9__che	AST	Link	1
artGlory__bloodStation	AST	No link	11
artGlory__bloodStation	BYTE	No link	11
arvydasdev__dragons.always.win	AST	No link	10
arvydasdev__dragons.always.win	BYTE	No link	10
aryantaheri__ovsdb	AST	No link	2
aryantaheri__ovsdb	BYTE	No link	1
aryantaheri__ovsdb	AST	Link	8
aryantaheri__ovsdb	BYTE	Link	9
asakusafw__asakusafw-compiler	AST	No link	1591
asakusafw__asakusafw-compiler	AST	Link	105
ashasn__projec	AST	Link	14
ashasn__projec	BYTE	Link	14
ashokdethe__yes-car	AST	No link	14
ashokdethe__yes-car	BYTE	No link	14
ashokdethe__yes-car	AST	Link	23
asifur77__openmrs	AST	No link	403
asifur77__openmrs	BYTE	No link	2
asifur77__openmrs	AST	Link	153
asifur77__openmrs	BYTE	Link	23
atlasapi__atlas-deer	AST	No link	265
atlasapi__atlas-deer	AST	Link	40
AtlasOfLivingAustralia__ala-logger	AST	No link	5
AtlasOfLivingAustralia__ala-logger	BYTE	No link	5
Awallky__mp5_maven	AST	No link	83
Awallky__mp5_maven	BYTE	No link	44
Awallky__mp5_maven	AST	Link	8
awenblue__powermock	AST	No link	4
awenblue__powermock	BYTE	No link	4
axbaretto__flink	BYTE	No link	2
axbaretto__flink	BYTE	Link	6
axelhodler__fundsoverview	AST	No link	44
axelhodler__fundsoverview	BYTE	No link	41
axelhodler__fundsoverview	AST	Link	1
axelhodler__fundsoverview	BYTE	Link	4
axibase__atsd-jdbc	AST	No link	41
axibase__atsd-jdbc	BYTE	No link	40
axibase__atsd-jdbc	AST	Link	7
axibase__atsd-jdbc	BYTE	Link	8
AxonFramework__AxonFramework	AST	No link	629
AxonFramework__AxonFramework	AST	Link	237
Axway__ats-framework	AST	No link	27
Axway__ats-framework	BYTE	No link	20
Axway__ats-framework	AST	Link	3
Axway__ats-framework	BYTE	Link	10
B3Partners__playbase-service	AST	No link	7
B3Partners__playbase-service	BYTE	No link	7
B3Partners__playbase-service	AST	Link	4
B3Partners__playbase-service	BYTE	Link	4
BackupTheBerlios__jalister-svn	AST	No link	34
BackupTheBerlios__jalister-svn	BYTE	No link	23
BackupTheBerlios__jalister-svn	AST	Link	13
BackupTheBerlios__jalister-svn	BYTE	Link	24
bacta__sw	AST	No link	77
bacta__sw	BYTE	No link	77
bacta__sw	AST	Link	43
bacta__sw	BYTE	Link	43
BaderLab__EnrichmentMapApp	AST	No link	51
BaderLab__EnrichmentMapApp	BYTE	No link	50
BaderLab__EnrichmentMapApp	AST	Link	3
BaderLab__EnrichmentMapApp	BYTE	Link	4
Bahmni__bahmni-reports	AST	No link	24
Bahmni__bahmni-reports	BYTE	No link	23
Bahmni__bahmni-reports	BYTE	Link	1
bandaruvenky__AnalysisDesk	AST	No link	10
bandaruvenky__AnalysisDesk	BYTE	No link	10
basho__riak-java-clien	AST	No link	332
basho__riak-java-clien	BYTE	No link	283
basho__riak-java-clien	AST	Link	34
basho__riak-java-clien	BYTE	Link	83
basis-technology-corp__felix.fork	AST	No link	188
basis-technology-corp__felix.fork	BYTE	No link	175
basis-technology-corp__felix.fork	AST	Link	29
basis-technology-corp__felix.fork	BYTE	Link	39
bbkbarbar__XChange_modified	AST	No link	293
bbkbarbar__XChange_modified	BYTE	No link	270
bbkbarbar__XChange_modified	AST	Link	37
bbkbarbar__XChange_modified	BYTE	Link	60
bbottema__simple-java-mail	AST	No link	38
bbottema__simple-java-mail	BYTE	No link	38
bbottema__simple-java-mail	AST	Link	38
bbottema__simple-java-mail	BYTE	Link	38
before__jacclo	AST	No link	43
before__jacclo	BYTE	No link	40
before__jacclo	AST	Link	29
before__jacclo	BYTE	Link	32
BenjaminWalden__tes	AST	No link	164
BenjaminWalden__tes	BYTE	No link	1
BenjaminWalden__tes	AST	Link	128
BenWng__imaginaryebay	AST	No link	17
BenWng__imaginaryebay	BYTE	No link	17
BenWng__imaginaryebay	AST	Link	42
BenWng__imaginaryebay	BYTE	Link	42
bfnaqica__UserWebApp	AST	No link	1
bharath12b5__jenkins	AST	No link	28
bharath12b5__jenkins	BYTE	No link	42
bharath12b5__jenkins1	AST	No link	28
